news_headline,news_article,news_category,full_text,clean_text,summary
"Credit for MI win went to Rohit, should've gone to Hardik: Bangar","Ex-India batting coach Sanjay Bangar said the credit for MI's victory against DC in the IPL 2025 match went to Rohit Sharma, but it should've been given to captain Hardik Pandya and spinner Karn Sharma. ""While Karn was the one executed, Hardik gave instructions,"" Bangar added. Karn took three wickets in the game and was adjudged Player of the Match.",sports,"Credit for MI win went to Rohit, should've gone to Hardik: Bangar. Ex-India batting coach Sanjay Bangar said the credit for MI's victory against DC in the IPL 2025 match went to Rohit Sharma, but it should've been given to captain Hardik Pandya and spinner Karn Sharma. ""While Karn was the one executed, Hardik gave instructions,"" Bangar added. Karn took three wickets in the game and was adjudged Player of the Match.",credit mi win go rohit go hardik bangar ex india batting coach sanjay bangar say credit mis victory dc ipl match go rohit sharma give captain hardik pandya spinner karn sharma karn one execute hardik give instruction bangar add karn take three wicket game adjudge player match,"""While Karn was the one executed, Hardik gave instructions,"" Bangar added."
"Karun's 'Dear cricket, give me one more chance' tweet resurfaces after he scores 89 vs MI","Delhi Capitals (DC) batter Karun Nair's old tweet from December 2022 resurfaced after he scored 89 runs off 40 deliveries against MI in his first match of IPL 2025. ""Dear cricket, give me one more chance,"" Karun had tweeted. The 33-year-old, who hit a Test triple century in 2016, last played an international match in 2017.",sports,"Karun's 'Dear cricket, give me one more chance' tweet resurfaces after he scores 89 vs MI. Delhi Capitals (DC) batter Karun Nair's old tweet from December 2022 resurfaced after he scored 89 runs off 40 deliveries against MI in his first match of IPL 2025. ""Dear cricket, give me one more chance,"" Karun had tweeted. The 33-year-old, who hit a Test triple century in 2016, last played an international match in 2017.",karuns dear cricket give I one chance tweet resurface score vs mi delhi capital dc batter karun nair old tweet december resurface score run delivery mi first match ipl dear cricket give I one chance karun tweet year old hit test triple century last play international match,"""Dear cricket, give me one more chance,"" Karun had tweeted."
Lack of common sense: Doull on Jake Fraser-McGurk’s golden duck,"Reacting to DC opener Jake Fraser-McGurk getting out on golden duck against MI in their IPL 2025 match, cricketer-turned-commentator Simon Doull said, ""Just impatient. Lack of common sense to...have a look at the situation."" ""It was a brilliant start for MI, but [it] was gifted from Fraser-McGurk,"" Doull added. Notably, Jake has scored 46 runs in five IPL 2025 games.",sports,"Lack of common sense: Doull on Jake Fraser-McGurk’s golden duck. Reacting to DC opener Jake Fraser-McGurk getting out on golden duck against MI in their IPL 2025 match, cricketer-turned-commentator Simon Doull said, ""Just impatient. Lack of common sense to...have a look at the situation."" ""It was a brilliant start for MI, but [it] was gifted from Fraser-McGurk,"" Doull added. Notably, Jake has scored 46 runs in five IPL 2025 games.",lack common sense doull jake fraser mcgurk golden duck react dc opener jake fraser mcgurk get golden duck mi ipl match cricketer turn commentator simon doull say impatient lack common sense look situation brilliant start mi gift fraser mcgurk doull add notably jake score run five ipl game,Lack of common sense: Doull on Jake Fraser-McGurk’s golden duck.
Jasprit Bumrah involved in heated spat with Karun Nair,Mumbai Indians (MI) fast bowler Jasprit Bumrah was involved in a heated spat with Delhi Capitals (DC) batter Karun Nair during their IPL 2025 match in Delhi on Sunday. A video of the same has gone viral on social media. Their altercation was reportedly triggered after Nair collided with Bumrah while running between the wickets.,sports,Jasprit Bumrah involved in heated spat with Karun Nair. Mumbai Indians (MI) fast bowler Jasprit Bumrah was involved in a heated spat with Delhi Capitals (DC) batter Karun Nair during their IPL 2025 match in Delhi on Sunday. A video of the same has gone viral on social media. Their altercation was reportedly triggered after Nair collided with Bumrah while running between the wickets.,jasprit bumrah involve heated spat karun nair mumbai indians mi fast bowler jasprit bumrah involve heated spat delhi capital dc batter karun nair ipl match delhi sunday video go viral social medium altercation reportedly trigger nair collide bumrah run wicket,Jasprit Bumrah involved in heated spat with Karun Nair.
MI take hat-trick of runouts in 19th over as DC suffer their 1st defeat in IPL 2025,"MI defeated DC by 12 runs in their IPL 2025 match in Delhi on Sunday. It is DC's first defeat and MI's second win in the tournament. MI took a hat-trick of runouts in the 19th over, dismissing DC for 193. MI had put up a total of 205/5, with Tilak Varma top-scoring in the innings with 59(33).",sports,"MI take hat-trick of runouts in 19th over as DC suffer their 1st defeat in IPL 2025. MI defeated DC by 12 runs in their IPL 2025 match in Delhi on Sunday. It is DC's first defeat and MI's second win in the tournament. MI took a hat-trick of runouts in the 19th over, dismissing DC for 193. MI had put up a total of 205/5, with Tilak Varma top-scoring in the innings with 59(33).",mi take hat trick runout th dc suffer st defeat ipl mi defeat dc run ipl match delhi sunday dcs first defeat mis second win tournament mi take hat trick runout th dismiss dc mi put total tilak varma top scoring innings,It is DC's first defeat and MI's second win in the tournament.
I've rejected offers worth crores: Vinesh on criticism over ₹4-cr reward,"Wrestler-turned-Congress MLA Vinesh Phogat reacted to criticism over accepting the ₹4 crore cash prize from the BJP-led Haryana government, saying she has rejected offers worth crores. ""From soft drinks to online gaming. But I never compromised on my principles,"" she added. Silver medalist benefits were offered to Phogat despite her disqualification from the 50kg final at the Paris Olympics 2024.",sports,"I've rejected offers worth crores: Vinesh on criticism over ₹4-cr reward. Wrestler-turned-Congress MLA Vinesh Phogat reacted to criticism over accepting the ₹4 crore cash prize from the BJP-led Haryana government, saying she has rejected offers worth crores. ""From soft drinks to online gaming. But I never compromised on my principles,"" she added. Silver medalist benefits were offered to Phogat despite her disqualification from the 50kg final at the Paris Olympics 2024.",I reject offer worth crore vinesh criticism cr reward wrestler turn congress mla vinesh phogat react criticism accept crore cash prize bjp lead haryana government say reject offer worth crore soft drink online gaming I never compromise principle add silver medalist benefit offer phogat despite disqualification kg final paris olympics,I've rejected offers worth crores: Vinesh on criticism over ₹4-cr reward.
Karun Nair smashes fifty in IPL after 7 years,"Delhi Capitals (DC) batter Karun Nair on Sunday smashed a 22-ball fifty against Mumbai Indians (MI) in their IPL 2025 match in Delhi. Nair has hit a fifty in IPL after seven years. Notably, the match against MI is Nair's first IPL 2025 appearance. The 33-year-old was bought by DC for ₹50 lakh in the 2025 mega auction.",sports,"Karun Nair smashes fifty in IPL after 7 years. Delhi Capitals (DC) batter Karun Nair on Sunday smashed a 22-ball fifty against Mumbai Indians (MI) in their IPL 2025 match in Delhi. Nair has hit a fifty in IPL after seven years. Notably, the match against MI is Nair's first IPL 2025 appearance. The 33-year-old was bought by DC for ₹50 lakh in the 2025 mega auction.",karun nair smash fifty ipl year delhi capital dc batter karun nair sunday smash ball fifty mumbai indians mi ipl match delhi nair hit fifty ipl seven year notably match mi nair first ipl appearance year old buy dc lakh mega auction,Karun Nair smashes fifty in IPL after 7 years.
Muhammad Rizwan chooses to speak in Urdu instead of English at toss in PSL,"Multan Sultans captain Muhammad Rizwan chose to speak in Urdu instead of English at toss ahead of their PSL 2025 match against Karachi Kings. ""I want to speak in Urdu, please,"" Rizwan said after the presenter asked him a question in English. Recently, Rizwan had said that he is not 1% ashamed that he can't speak English.",sports,"Muhammad Rizwan chooses to speak in Urdu instead of English at toss in PSL. Multan Sultans captain Muhammad Rizwan chose to speak in Urdu instead of English at toss ahead of their PSL 2025 match against Karachi Kings. ""I want to speak in Urdu, please,"" Rizwan said after the presenter asked him a question in English. Recently, Rizwan had said that he is not 1% ashamed that he can't speak English.",muhammad rizwan choose speak urdu instead english toss psl multan sultans captain muhammad rizwan choose speak urdu instead english toss ahead psl match karachi king I want speak urdu please rizwan say presenter ask question english recently rizwan say not ashamed not speak english,Muhammad Rizwan chooses to speak in Urdu instead of English at toss in PSL.
James Vince awarded hair dryer for scoring hundred in Pakistan Super League match,Karachi Kings batter James Vince was awarded a hair dryer by his team after he scored a hundred in their Pakistan Super League (PSL) match against Multan Sultans. Vince scored 101 runs off 43 deliveries. Vince was seen laughing while receiving the hair dryer in the team dressing room. Karachi Kings beat Multan Sultans by four wickets.,sports,James Vince awarded hair dryer for scoring hundred in Pakistan Super League match. Karachi Kings batter James Vince was awarded a hair dryer by his team after he scored a hundred in their Pakistan Super League (PSL) match against Multan Sultans. Vince scored 101 runs off 43 deliveries. Vince was seen laughing while receiving the hair dryer in the team dressing room. Karachi Kings beat Multan Sultans by four wickets.,james vince award hair dryer score hundred pakistan super league match karachi king batter james vince award hair dryer team score hundred pakistan super league psl match multan sultan vince score run delivery vince see laugh receive hair dryer team dress room karachi king beat multan sultan four wicket,James Vince awarded hair dryer for scoring hundred in Pakistan Super League match.
ICC launches dedicated support initiative for displaced Afghan women cricketers,"The ICC has announced formation of a dedicated task force to support displaced Afghan women cricketers. The ICC has joined hands with BCCI, England and Wales Cricket Board (ECB), and Cricket Australia (CA) to assist the athletes in both their cricketing and personal development journeys. The ICC will establish a dedicated fund to provide direct monetary assistance to the cricketers.",sports,"ICC launches dedicated support initiative for displaced Afghan women cricketers. The ICC has announced formation of a dedicated task force to support displaced Afghan women cricketers. The ICC has joined hands with BCCI, England and Wales Cricket Board (ECB), and Cricket Australia (CA) to assist the athletes in both their cricketing and personal development journeys. The ICC will establish a dedicated fund to provide direct monetary assistance to the cricketers.",icc launch dedicated support initiative displace afghan woman cricketer icc announce formation dedicated task force support displace afghan woman cricketer icc join hand bcci england wale cricket board ecb cricket australia ca assist athlete cricketing personal development journey icc establish dedicated fund provide direct monetary assistance cricketer,ICC launches dedicated support initiative for displaced Afghan women cricketers.
China's exports rise 12.4% in march despite tariff strain,"China's exports grew 12.4% in March 2025, surpassing expectations amid looming US tariffs. Import volumes fell 4.3%, signalling global trade strain. Growth in Southeast Asian and African markets softened the impact of reduced US. trade. Officials remain optimistic, emphasising China’s enduring role as a key global trading partner despite mounting external challenges.",world,"China's exports rise 12.4% in march despite tariff strain. China's exports grew 12.4% in March 2025, surpassing expectations amid looming US tariffs. Import volumes fell 4.3%, signalling global trade strain. Growth in Southeast Asian and African markets softened the impact of reduced US. trade. Officials remain optimistic, emphasising China’s enduring role as a key global trading partner despite mounting external challenges.",chinas export rise march despite tariff strain chinas export grow march surpass expectation amid loom tariff import volume fall signal global trade strain growth southeast asian african market soften impact reduce trade official remain optimistic emphasise china endure role key global trading partner despite mount external challenge,trade.
Turkey to host meeting on Black Sea security,"Turkey's Defence Ministry said on Sunday that the country will host a meeting on April 15 and 16 to discuss Black Sea security. The meeting will focus on security scenario after Ukraine and Russia finalise a possible ceasefire deal. The ministry added that the military representatives of foreign countries will attend the meeting to be held in the capital, Ankara.",world,"Turkey to host meeting on Black Sea security. Turkey's Defence Ministry said on Sunday that the country will host a meeting on April 15 and 16 to discuss Black Sea security. The meeting will focus on security scenario after Ukraine and Russia finalise a possible ceasefire deal. The ministry added that the military representatives of foreign countries will attend the meeting to be held in the capital, Ankara.",turkey host meeting black sea security turkeys defence ministry say sunday country host meeting april discuss black sea security meeting focus security scenario ukraine russia finalise possible ceasefire deal ministry add military representative foreign country attend meeting hold capital ankara,Turkey to host meeting on Black Sea security.
"Russia-Ukraine war is Biden's war, I'm trying to stop it: Trump","US President Donald Trump said the conflict between Russia and Ukraine is ex-US President Joe Biden's war and he's trying to stop it to save lives. ""He (Biden) gave billions and billions of dollars...If he had any brain, which he didn't have and doesn't have, and now it's being proven, he wouldn't have allowed that war to start,"" Trump stated.",world,"Russia-Ukraine war is Biden's war, I'm trying to stop it: Trump. US President Donald Trump said the conflict between Russia and Ukraine is ex-US President Joe Biden's war and he's trying to stop it to save lives. ""He (Biden) gave billions and billions of dollars...If he had any brain, which he didn't have and doesn't have, and now it's being proven, he wouldn't have allowed that war to start,"" Trump stated.",russia ukraine war biden war I try stop trump us president donald trump say conflict russia ukraine ex us president joe bidens war try stop save life biden give billion billion dollar brain not not prove would not allow war start trump state,"Russia-Ukraine war is Biden's war, I'm trying to stop it: Trump."
China's exports hit 5-month-high in March at 12.4% amid Trump's tariffs,"China's exports rose sharply to 12.4% in March year-on-year marking a five-month-high due to a temporary rush in shipments in view of US President Donald Trump's sweeping reciprocal tariffs, according to official data. However, the country's imports declined by 4.3%. Moreover, China's trade surplus with the US in the first quarter rose to $76.6 billion from $70.2 billion last year.",world,"China's exports hit 5-month-high in March at 12.4% amid Trump's tariffs. China's exports rose sharply to 12.4% in March year-on-year marking a five-month-high due to a temporary rush in shipments in view of US President Donald Trump's sweeping reciprocal tariffs, according to official data. However, the country's imports declined by 4.3%. Moreover, China's trade surplus with the US in the first quarter rose to $76.6 billion from $70.2 billion last year.",chinas export hit month high march amid trump tariff chinas export rise sharply march year year mark five month high due temporary rush shipment view us president donald trump sweeping reciprocal tariff accord official datum however countrys import decline moreover china trade surplus us first quarter rise billion billion last year,China's exports hit 5-month-high in March at 12.4% amid Trump's tariffs.
Bangladesh brings back 'except Israel' policy on its passports,"The Bangladesh government has reintroduced the 'except Israel' inscription on its passports, banning its citizens from travelling to Israel. Bangladesh's Home Ministry reportedly issued a directive to reinstate the sentence 'This passport is valid for all countries of the world except Israel' on the country's passports. The Bangladesh government had removed this sentence in 2021.",world,"Bangladesh brings back 'except Israel' policy on its passports. The Bangladesh government has reintroduced the 'except Israel' inscription on its passports, banning its citizens from travelling to Israel. Bangladesh's Home Ministry reportedly issued a directive to reinstate the sentence 'This passport is valid for all countries of the world except Israel' on the country's passports. The Bangladesh government had removed this sentence in 2021.",bangladesh bring back except israel policy passport bangladesh government reintroduce except israel inscription passport ban citizen travel israel bangladeshs home ministry reportedly issue directive reinstate sentence passport valid country world except israel countrys passport bangladesh government remove sentence,Bangladesh brings back 'except Israel' policy on its passports.
Markets brace for impact as trade war roils global assets,"With Indian markets shut for a bank holiday, investors await Wall Street's response to Trump's latest trade policy reversal. Bond yields have surged, the dollar has dipped, & foreign investors have pulled back, including $4 billion from Indian equities in April. As US policy shifts unsettle markets, capital is now re-evaluating risk, safety, and opportunity.",world,"Markets brace for impact as trade war roils global assets. With Indian markets shut for a bank holiday, investors await Wall Street's response to Trump's latest trade policy reversal. Bond yields have surged, the dollar has dipped, & foreign investors have pulled back, including $4 billion from Indian equities in April. As US policy shifts unsettle markets, capital is now re-evaluating risk, safety, and opportunity.",market brace impact trade war roil global asset indian market shut bank holiday investor await wall street response trump late trade policy reversal bond yield surge dollar dip foreign investor pull back include billion indian equity april policy shift unsettle market capital evaluating risk safety opportunity,"As US policy shifts unsettle markets, capital is now re-evaluating risk, safety, and opportunity."
"Stay indoors or risk being blown away, China warns people under 50 kg amid strong winds","The Chinese government has advised people to stay inside amid strong winds in cities like Beijing, Tianjin, and areas in Hebei province. Local media warned that those weighing under 50 kg could be ""easily blown away"". For the first time in 10 years, Beijing has issued an orange alert for gales, the second-highest level in their four-tier warning system.",world,"Stay indoors or risk being blown away, China warns people under 50 kg amid strong winds. The Chinese government has advised people to stay inside amid strong winds in cities like Beijing, Tianjin, and areas in Hebei province. Local media warned that those weighing under 50 kg could be ""easily blown away"". For the first time in 10 years, Beijing has issued an orange alert for gales, the second-highest level in their four-tier warning system.",stay indoor risk blow away china warn people kg amid strong wind chinese government advise people stay inside amid strong wind city like beijing tianjin area hebei province local medium warn weigh kg could easily blow away first time year beijing issue orange alert gale second high level four tier warning system,"Stay indoors or risk being blown away, China warns people under 50 kg amid strong winds."
Visit & see dead kids before any negotiation: Zelenskyy to Trump,"Ukrainian President Volodymyr Zelenskyy urged US President Donald Trump to visit the country and witness dead people, children, and destroyed hospitals and churches before engaging in any negotiations over the Ukraine- Russia war. ""You will understand with whom you have a deal,"" Zelenskyy added. ""Russian President Vladimir Putin never wanted an end to the war,"" he stated.",world,"Visit & see dead kids before any negotiation: Zelenskyy to Trump. Ukrainian President Volodymyr Zelenskyy urged US President Donald Trump to visit the country and witness dead people, children, and destroyed hospitals and churches before engaging in any negotiations over the Ukraine- Russia war. ""You will understand with whom you have a deal,"" Zelenskyy added. ""Russian President Vladimir Putin never wanted an end to the war,"" he stated.",visit see dead kid negotiation zelenskyy trump ukrainian president volodymyr zelenskyy urge us president donald trump visit country witness dead people child destroy hospital church engage negotiation ukraine russia war understand deal zelenskyy add russian president vladimir putin never want end war state,"""Russian President Vladimir Putin never wanted an end to the war,"" he stated."
Ousted South Korea President Yoon wears Trump-inspired 'Make Korea Great Again' cap,"Ousted South Korean President Yoon Suk Yeol was seen wearing a US President Donald Trump-inspired 'Make Korea Great Again' cap as he moved back to his private home after vacating the presidential residence. ""Now I will go back to being one of the people... and find a new way for the country and the people,"" he said.",world,"Ousted South Korea President Yoon wears Trump-inspired 'Make Korea Great Again' cap. Ousted South Korean President Yoon Suk Yeol was seen wearing a US President Donald Trump-inspired 'Make Korea Great Again' cap as he moved back to his private home after vacating the presidential residence. ""Now I will go back to being one of the people... and find a new way for the country and the people,"" he said.",oust south korea president yoon wear trump inspire make korea great cap oust south korean president yoon suk yeol see wear us president donald trump inspire make korea great cap move back private home vacate presidential residence I go back one people find new way country people say,Ousted South Korea President Yoon wears Trump-inspired 'Make Korea Great Again' cap.
Trump's medical report released,"US President Donald Trump's medical examination report has been released by the White House. ""His joints and muscles have a full range of motion. Examination revealed no abnormalities in his mental status. Skin examination revealed minor sun damage and a few benign lesions,"" it said. The report showed results of lipid panel, complete blood count and metabolic panel.",world,"Trump's medical report released. US President Donald Trump's medical examination report has been released by the White House. ""His joints and muscles have a full range of motion. Examination revealed no abnormalities in his mental status. Skin examination revealed minor sun damage and a few benign lesions,"" it said. The report showed results of lipid panel, complete blood count and metabolic panel.",trumps medical report release us president donald trump medical examination report release white house joint muscle full range motion examination reveal no abnormality mental status skin examination reveal minor sun damage benign lesion say report show result lipid panel complete blood count metabolic panel,Trump's medical report released.
